Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,text_length
618,622,"Attended a lecture on history, always fascinated by the lessons from the past. Learning is a lifelong adventure. #HistoryLecture #SeniorLearning ",1,6/26/2023 14:00, HistoryEnthusiast , Instagram , #LifetimeAdventure #SeniorCuriosity ,30,60, UK,2023,6,26,14,145
647,651,"Daydreaming about the upcoming prom. The dress, the dance â€“ it's a fairytale in the making! ",0,8/5/2023 19:45, PromDreamerHighSchool , Twitter , #PromDreams #HighSchoolFairytale ,30,60, Canada,2023,8,5,19,92
469,473,"In the gallery of broken promises, each shattered vow framed, a painful exhibition. ",2,1/28/2022 13:45, PromiseGallery , Facebook , #Betrayal #ShatteredVows ,15,30, Brazil ,2022,1,28,13,84
459,463,"In the tapestry of despair, threads of hope unravel, leaving a portrait of sorrow. ",2,8/28/2017 19:30, TapestrySorrow , Facebook , #Despair #UnraveledHope ,18,35, India ,2017,8,28,19,83
641,645,"Started a blog sharing the wisdom gained through the years, proving that every day is a chance to learn and grow. #SeniorWisdom #Blog ",0,7/19/2023 19:45, WisdomBloggerSenior , Instagram , #LifeLessons #SeniorBlog ,22,45, UK,2023,7,19,19,134
632,636,"Embarked on a hiking adventure, conquering trails and relishing the beauty of nature. Age is just a number on the mountaintop. #HikingAdventure #SeniorHiker ",0,7/10/2023 14:20, SeniorHikerExplorer , Instagram , #NatureTrailBlazer #SeniorExplorer ,28,55, UK,2023,7,10,14,157
485,489,"Lost in the maze of curiosity, each twist and turn unveils the treasures of discovery. ",1,9/22/2018 12:45, MazeDiscovery , Instagram , #Curiosity #TreasuresOfDiscovery ,22,45, India ,2018,9,22,12,87
45,46, Exploring local art galleries this weekend.        ,0,1/30/2023 11:30, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      ,2023,1,30,11,52
614,618,"Taking a stroll in the garden, appreciating the beauty of blooming flowers. Nature's wonders never cease. #GardenWalk #FloralBeauty ",0,6/22/2023 13:45, GardenEnthusiast , Facebook , #NatureWonders #SeniorGarden ,25,50, USA,2023,6,22,13,132
292,296," Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",0,10/30/2022 11:40, WaveNavigator , Twitter , #Hopeful #SailorOfDreams ,17,34, Australia ,2022,10,30,11,125
31,32, Weekend road trip to explore scenic views.         ,0,1/24/2023 17:30, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17,52
584,588,Lost my headphones again. How do they vanish into thin air? #HeadphoneMystery #TeenLife ,2,5/23/2023 16:45, AudioExplorer , Twitter , #TeenProblems #LostHeadphones ,20,40, USA,2023,5,23,16,88
629,633,"Started a book club for seniors, where discussions are as lively as the characters in the novels. #BookClub #SeniorReaders ",0,7/7/2023 19:45, SeniorBookClub , Instagram , #BookishTalks #SeniorBookworms ,22,45, UK,2023,7,7,19,123
607,611,Embarking on a journey of learning a new language. The mind stays young with every new word. #LanguageLearning #NeverTooLate ,1,6/15/2023 12:15, LinguisticExplorer , Twitter , #MindEnrichment #SeniorLearning ,30,60, UK,2023,6,15,12,125
17,17, Late-night gaming session with friends.            ,0,1/20/2023 0:05, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0,52
727,731,Achieving a personal best in a track and field competition. The thrill of victory and self-improvement! ,0,9/14/2016 12:30, TrackFieldSuccessHighSchool , Twitter , #AthleticAchievement #HighSchoolSports ,26,51, Canada,2016,9,14,12,104
36,37, Quality time with family this weekend.             ,0,1/26/2023 17:40, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,2023,1,26,17,52
621,625,"Attended a jazz concert and swayed to the rhythm of timeless tunes. Music, a constant companion in the golden years. #JazzConcert #SeniorMusic ",0,6/29/2023 16:30, JazzMusicLover , Instagram , #TimelessTunes #SeniorJazz ,25,50, USA,2023,6,29,16,143
6,6, Rainy days call for cozy blankets and hot cocoa.   ,0,1/16/2023 14:45, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14,52
592,596,Spent the day binge-watching a new series. Productivity level: Zero. #LazyDay #TVSeriesMarathon ,0,5/31/2023 15:30, LazyWatcher , Facebook , #BingeWatchDay #TeenLife ,35,70, Canada,2023,5,31,15,96
41,42, Planning a garden makeover for spring.             ,0,1/28/2023 14:45, GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      ,2023,1,28,14,52
612,616,"Joined a community choir, harmonizing with fellow voices. Music creates bonds that withstand time. #CommunityChoir #HarmonyInAging ",0,6/20/2023 14:20, ChoirEnthusiast , Instagram , #MusicHarmony #SeniorVoices ,20,40, USA,2023,6,20,14,131
645,649,"Joined the school debate team. Words are my weapons, and I'm ready for battle! ",0,8/3/2023 12:15, DebateWarriorHighSchool , Facebook , #DebateWarrior #HighSchoolDebater ,18,35, Canada,2023,8,3,12,79
609,613,Capturing the beauty of nature through photography. Every snapshot is a treasure. #NaturePhotography #SeniorPhotographer ,0,6/17/2023 15:00, PhotographySenior , Instagram , #NatureCapture #SeniorMoments ,35,70, USA,2023,6,17,15,121
295,299," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",0,7/17/2022 6:15, DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14,28, India ,2022,7,17,6,114
606,610,Savoring the flavors of a home-cooked meal. Simple joys are the heart of happiness. #HomeCooking #SimpleJoys ,0,6/14/2023 19:30, HomeChefSenior , Instagram , #HappinessInFood #SeniorLife ,25,50, USA,2023,6,14,19,109
599,603,Rediscovered childhood cartoons and had a nostalgia-filled marathon. #CartoonNostalgia #TeenMemories ,0,6/7/2023 12:45, NostalgiaExplorer , Twitter , #ChildhoodMemories #TeenCartoons ,22,45, USA,2023,6,7,12,101
709,713,Collaborating on a school project with peers. Teamwork makes the dream work. ,1,10/6/2023 17:30, SchoolProjectCollaborationHighSchool , Twitter , #Teamwork #HighSchoolProjects ,18,36, Canada,2023,10,6,17,77
659,663,Hosting a sleepover with friends this weekend. Preparing for a night of laughter and memories! ,0,8/17/2023 22:15, SleepoverHostHighSchool , Twitter , #SleepoverFun #HighSchoolMemories ,18,35, UK,2023,8,17,22,95
321,325," Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces. ",2,12/1/2017 18:50, SolitaryMoon , Instagram , #Loneliness #StarlessSky ,18,36, USA ,2017,12,1,18,136
690,694,Dealing with a personal setback. Sometimes life throws unexpected challenges. ,2,9/17/2023 20:45, PersonalSetbackHighSchool , Twitter , #LifeChallenges #HighSchoolStruggles ,22,44, USA,2023,9,17,20,78
298,302," Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ",2,3/8/2019 14:20, VenomousSoul , Facebook , #Bitterness #ResentmentWeb ,12,24, UK ,2019,3,8,14,118
105,107, Confusion surrounds me as I navigate through life's choices. ,1,3/2/2023 13:15, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30,60, USA   ,2023,3,2,13,62
708,712,Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen. ,1,10/5/2023 14:15, BakeSaleRecipeExperimentHighSchool , Instagram , #BakingAdventures #HighSchoolBakes ,21,43, USA,2023,10,5,14,90
49,50, Cooking a special dinner for loved ones.           ,0,1/31/2023 19:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19,52
593,597,Caught up on the latest fashion trends and now planning a shopping spree. #Fashionista #TrendyTeen ,0,6/1/2023 18:00, TrendExplorer , Twitter , #FashionGoals #TeenStyle ,20,40, USA,2023,6,1,18,99
32,33, Enjoying a cup of tea and watching the sunset.     ,0,1/25/2023 18:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,2023,1,25,18,52
656,660,Mastering the art of the perfect doodle during boring classes. Doodles: A+! ,0,8/14/2023 16:15, DoodleMasterHighSchool , Twitter , #DoodleMaster #HighSchoolArt ,20,40, USA,2023,8,14,16,76
652,656,Spent hours perfecting a chemistry experiment. Mixing potions like a wizard! ,0,8/10/2023 14:20, ChemistryWizardHighSchool , Instagram , #ChemistryWizard #HighSchoolScientist ,28,55, UK,2023,8,10,14,77
452,456,"Haunted by the specter of lost possibilities, a ghost that refuses to fade away. ",2,11/8/2019 14:45, PossibilityGhost , Twitter , #Regret #FadingPossibilities ,18,35, Spain ,2019,11,8,14,81
48,49, Reflecting on the beauty of nature.                ,0,1/31/2023 10:45, NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia ,2023,1,31,10,52
688,692,Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch. ,2,9/15/2023 14:15, CafeteriaConflictHighSchool , Instagram , #CafeteriaDrama #HighSchoolTension ,21,41, Canada,2023,9,15,14,78
182,184," Frustration boils over, a volcanic eruption of emotions.",2,4/10/2017 14:45, ExplosiveMind    , Twitter  , #Frustration #EmotionalOutburst             ,12,25, USA          ,2017,4,10,14,57
475,479,"Serenading the stars with a heart full of gratitude, a melody of thankfulness. ",0,12/22/2017 21:00, StarSerenader , Twitter , #Gratitude #ThankfulMelody ,22,45, India ,2017,12,22,21,79
663,667,Mastered the art of creating paper airplanes during lecture. Paper planes: Soaring to new heights! ,0,8/21/2023 15:45, PaperPlaneExpertHighSchool , Instagram , #PaperPlaneExpert #HighSchoolArt ,15,30, USA,2023,8,21,15,99
52,53, Sunday bike ride through scenic trails.           ,0,2/1/2023 13:30, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,2023,2,1,13,51
616,620,"Participated in a community art class, unleashing creativity in the golden years. Art has no age limit. #ArtClass #SeniorArtistry ",0,6/24/2023 16:15, ArtisticSenior , Twitter , #CreativityAtAnyAge #SeniorCreativity ,22,45, Canada,2023,6,24,16,130
671,675,Attempting to set a new record for the most consecutive hacky sack kicks. Hacky sack skills: Unleashed! ,0,8/29/2023 13:45, HackySackChampionHighSchool , Instagram , #HackySackChallenge #HighSchoolAthlete ,26,48, Canada,2023,8,29,13,104
5,5, Feeling grateful for the little things in life.    ,0,1/16/2023 9:10, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9,52
515,519,"Swaying to Ed Sheeran's acoustic melodies, a serene evening filled with 'Perfect' moments. ",0,8/18/2020 19:00, SheeranMelodyLover , Twitter , #Serenity #EdSheeranConcert ,18,35, UK ,2020,8,18,19,91
261,265," Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",1,11/29/2020 14:45, KnowledgeSeeker , Instagram , #Curiosity #LabyrinthOfQuestions ,17,34, USA ,2020,11,29,14,119
604,608,"Reflecting on a lifetime of memories, each wrinkle tells a story. Embracing the beauty of aging. #LifeReflections #BeautyInAging ",0,6/12/2023 18:00, WiseSoul , Twitter , #AgingGracefully #Memories ,28,55, UK,2023,6,12,18,129
710,714,Attending a school club meeting to explore new interests. Dabbling in extracurricular activities. ,1,10/7/2023 20:45, ExtracurricularExplorationHighSchool , Instagram , #SchoolClubs #HighSchoolInterests ,22,45, UK,2023,10,7,20,98
726,730,Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes! ,0,11/10/2015 16:45, ArtExhibitionJoyHighSchool , Instagram , #ArtisticExpression #HighSchoolCreativity ,23,44, USA,2015,11,10,16,99
715,719,Attending a workshop on time management to enhance organizational skills. Striving for efficiency. ,1,10/12/2023 18:20, TimeManagementWorkshopHighSchool , Twitter , #EfficiencyGoals #HighSchoolSkills ,23,44, Canada,2023,10,12,18,99
249,253," Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",0,9/5/2020 20:10, SereneBasker , Facebook , #Contentment #GoldenGlow ,18,36, Australia ,2020,9,5,20,103
634,638,"Joined a seniors' cycling club, feeling the wind in my hair and the freedom of the open road. #CyclingClub #SeniorCyclist ",0,7/12/2023 13:45, SeniorCyclingEnthusiast , Facebook , #OpenRoadAdventures #SeniorCycling ,25,50, USA,2023,7,12,13,122
449,453,"In the wasteland of lost trust, the echoes of broken promises reverberate. ",2,12/12/2016 10:00, TrustWasteland , Facebook , #Betrayal #ReverberatingPromises ,25,50, Italy ,2016,12,12,10,75
43,44, Feeling accomplished after a productive day.       ,0,1/29/2023 17:00, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,2023,1,29,17,52
684,688,Reflecting on the challenges of the school year. Feeling a bit overwhelmed with assignments. ,2,9/11/2023 15:45, OverwhelmedHighSchoolStudent , Twitter , #SchoolChallenges #HighSchoolStruggles ,15,28, USA,2023,9,11,15,93
12,12, Exploring the city's hidden gems.                  ,0,1/18/2023 14:50, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14,52
642,646,"Participated in a charity run, proving that age is no barrier to supporting meaningful causes. #CharityRun #SeniorRunner ",0,7/20/2023 17:00, SeniorCharityRunner , Twitter , #RunForACause #SeniorSupport ,30,60, Canada,2023,7,20,17,121
536,540,"At the Oscars, the actor graciously accepts an award, radiating joy and gratitude for the recognition of their outstanding performance. ",0,2/28/2016 20:30, AwardWinningActorOscarsRecipient , Facebook , #Gratitude #OscarWinningMoment ,18,35, USA ,2016,2,28,20,136
471,475,"Dancing on sunshine, each step a celebration of the joy found in simple moments. ",0,8/20/2021 15:45, SunshineDancer , Instagram , #Joy #SimpleMoments ,40,80, USA ,2021,8,20,15,81
456,460,"Tears, the currency of grief, spent in the marketplace of lost love and longing. ",2,12/22/2016 21:45, CurrencyOfTears , Facebook , #Grief #LostLoveLonging ,25,50, USA ,2016,12,22,21,81
706,710,Organizing a community cleanup event for a cleaner neighborhood. Promoting environmental awareness. ,1,10/3/2023 12:30, CommunityCleanupHighSchool , Twitter , #EnvironmentalEfforts #HighSchoolCommunity ,26,50, Canada,2023,10,3,12,100
711,715,Exploring a new part-time job opportunity for gaining work experience. Career development in progress. ,1,10/8/2023 15:15, PartTimeJobExplorationHighSchool , Facebook , #CareerDevelopment #HighSchoolJobs ,24,48, USA,2023,10,8,15,103
467,471,"Swept away by the river of regret, the currents of the past refusing to release. ",2,4/28/2017 16:20, RegretRiver , Instagram , #Regret #PastCurrents ,18,35, UK ,2017,4,28,16,81
13,13," New year, new fitness goals! ðŸ’ª                    ",0,1/18/2023 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18,51
21,21, Exploring the world of virtual reality.            ,0,1/21/2023 13:20, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,2023,1,21,13,52
284,288," Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",0,4/27/2019 9:50, RiverNavigator , Instagram , #Contentment #TranquilWaters ,20,40, Canada ,2019,4,27,9,118
695,699,Dealing with unfounded rumors circulating about personal life. Rumors can be hurtful. ,2,9/22/2023 18:20, RumorVictimHighSchool , Facebook , #RumorMills #HighSchoolDrama ,23,46, UK,2023,9,22,18,86
602,606,Started a blog about random thoughts and musings. Blogging is the new diary. #BloggerLife #TeenBlogger ,1,6/10/2023 17:30, ThoughtfulBlogger , Twitter , #BloggingJourney #TeenThoughts ,30,60, Canada,2023,6,10,17,103
25,25, Sunday brunch with friends.                        ,0,1/22/2023 12:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12,52
637,641,"Organized a community painting event, turning blank canvases into a masterpiece of shared creativity. #PaintingEvent #SeniorArtist ",0,7/15/2023 19:30, SeniorPaintingOrganizer , Facebook , #CommunityArt #SeniorCreativity ,28,55, Canada,2023,7,15,19,131
339,343,Excitement builds as the countdown to a long-awaited vacation begins. ,0,1/10/2023 12:00, VacationDreamer , Instagram , #Excitement #VacationCountdown        ,30,60, France            ,2023,1,10,12,70
721,725,Attending a school talent show to support classmates. Applauding the diverse talents on display! ,0,10/18/2023 16:45, TalentShowSupportHighSchool , Facebook , #TalentShow #HighSchoolEntertainment ,19,38, Canada,2023,10,18,16,97
605,609,Exploring the world of digital art. It's never too late to discover new passions. #DigitalArtistry #LateBloomer ,1,6/13/2023 14:45, ArtAdventurer , Facebook , #ArtDiscovery #SeniorArtist ,22,45, Canada,2023,6,13,14,112
681,685,Building a time capsule to capture memories for the future. Time-traveling emotions! ,0,9/8/2023 14:15, TimeCapsuleCreatorHighSchool , Facebook , #TimeCapsule #HighSchoolNostalgia ,26,48, Canada,2023,9,8,14,85
713,717,Exploring a new hobby of photography during free time. Capturing moments through a lens. ,1,10/10/2023 14:15, PhotographyHobbyHighSchool , Instagram , #PhotographyJourney #HighSchoolHobbies ,25,49, UK,2023,10,10,14,89
297,301," Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",2,9/15/2021 16:00, ShatteredHeart , Instagram , #Despair #EchoingSilence ,8,16, Canada ,2021,9,15,16,114
267,271," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",0,7/17/2022 6:15, DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14,28, UK ,2022,7,17,6,114
521,525,"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ",0,8/5/2018 20:00, BieberDanceEnthusiast , Instagram , #Enthusiasm #JustinBieber ,40,80, Canada ,2018,8,5,20,105
250,254," Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",0,4/18/2022 8:00, DreamPainter , Instagram , #Hopeful #CanvasOfDreams ,12,24, India ,2022,4,18,8,111
719,723,Celebrating a friend's birthday with a surprise party. Joyful moments and laughter all around! ,0,10/16/2023 15:45, BirthdaySurpriseHighSchool , Instagram , #SurpriseParty #HighSchoolCelebration ,27,52, UK,2023,10,16,15,95
646,650,"Started a photography club at school. Capturing moments, one snapshot at a time! ",0,8/4/2023 16:30, PhotoClubHighSchool , Instagram , #PhotographyClub #HighSchoolPhotographer ,22,45, USA,2023,8,4,16,81
699,703,Encountering online toxicity during a gaming session. Hateful comments can ruin the fun. ,2,9/26/2023 14:15, GamingToxicityHighSchool , Twitter , #OnlineGaming #HighSchoolGamer ,16,32, USA,2023,9,26,14,89
670,674,Perfecting the art of creating origami during a dull lecture. Origami mastery: A+! ,0,8/28/2023 16:00, OrigamiProHighSchool , Twitter , #OrigamiMaster #HighSchoolArt ,18,36, USA,2023,8,28,16,83
729,733,"Attending a surprise birthday party organized by friends. Surrounded by love, laughter, and good company! ",0,6/22/2018 14:15, BirthdayPartyJoyHighSchool , Instagram , #SurpriseCelebration #HighSchoolFriendship ,25,48, USA,2018,6,22,14,106
704,708,Missing out on a long-anticipated event due to unexpected circumstances. A day filled with sadness. ,2,10/1/2023 14:15, MissedEventBluesHighSchool , Facebook , #MissedMoments #HighSchoolRegret ,20,39, UK,2023,10,1,14,100
